appid,name,type,required_age,is_free,detailed_description,price,developers,categories,release_date,genres
3008130,,,,,,,,,,
933110,,,,,,,,,,
1066780,,,,,,,,,,
1868140,,,,,,,,,,
1169040,Necesse,game,0.0,False,,HK$ 95.00,Fair Games ApS,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Family Sharing']","16 Oct, 2025","['Action', 'Adventure', 'Indie', 'RPG']"
1044720,,,,,,,,,,
3008130,,,,,,,,,,
2250040,,,,,,,,,,
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,game,0.0,False,,R 999.00,Asobo Studio,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'VR Supported', 'In-App Purchases', 'HDR available', 'Family Sharing']","17 Aug, 2020",['Simulation']
359320,,,,,,,,,,
1621690,Core Keeper,game,0.0,False,,39.95 SR,Pugstorm,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Cloud', 'Family Sharing']","27 Aug, 2024","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']"
3301060,,,,,,,,,,
2452280,,,,,,,,,,
2670630,,,,,,,,,,
552500,,,,,,,,,,
1118200,,,,,,,,,,
435150,,,,,,,,,,
2384580,,,,,,,,,,
232090,,,,,,,,,,
703080,,,,,,,,,,
1527950,,,,,,,,,,
2277560,,,,,,,,,,
477160,,,,,,,,,,
3159330,,,,,,,,,,
391220,Rise of the Tomb Raider™,game,0.0,False,,"R$ 124,99",Crystal Dynamics,"['Single-player', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","9 Feb, 2016","['Action', 'Adventure']"
3314790,,,,,,,,,,
268500,,,,,,,,,,
602960,Barotrauma,game,0.0,False,,$17.99 USD,FakeFish,"['Un jugador', 'Multijugador', 'JcJ', 'JcJ en línea', 'Cooperativo', 'Cooperativo en línea', 'Logros de Steam', 'Cromos de Steam', 'Steam Workshop', 'Steam Cloud', 'Incluye editor de niveles', 'Préstamo familiar', 'Steam\xa0Timeline']",14 MAR 2023,"['Acción', 'Indie', 'Simuladores', 'Estrategia']"
244850,,,,,,,,,,
2444750,,,,,,,,,,
231430,,,,,,,,,,
1677280,,,,,,,,,,
1189490,,,,,,,,,,
1601580,,,,,,,,,,
2017220,,,,,,,,,,
1604270,,,,,,,,,,
219990,,,,,,,,,,
3606890,,,,,,,,,,
1282270,,,,,,,,,,
3241970,,,,,,,,,,
985810,,,,,,,,,,
2321470,,,,,,,,,,
815370,,,,,,,,,,
872410,,,,,,,,,,
392160,,,,,,,,,,
392160,,,,,,,,,,
1449110,The Outer Worlds 2,game,0.0,False,,"69,99€",Obsidian Entertainment,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Custom Volume Controls', 'Adjustable Difficulty', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'Stats', 'Family Sharing']","29 Oct, 2025","['Action', 'Adventure', 'RPG']"
1449110,The Outer Worlds 2,game,0.0,False,,"69,99€",Obsidian Entertainment,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Custom Volume Controls', 'Adjustable Difficulty', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'Stats', 'Family Sharing']","29 Oct, 2025","['Action', 'Adventure', 'RPG']"
2661300,,,,,,,,,,
2437170,SMITE 2,game,0.0,True,,Free,Titan Forge Games,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']","27 Aug, 2024","['Action', 'Adventure', 'Casual', 'Massively Multiplayer', 'RPG', 'Strategy', 'Free To Play', 'Early Access']"
620,Portal 2,game,0,False,,CLP$ 5.750,Valve,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Workshop', 'Camera Comfort', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","18 Apr, 2011","['Action', 'Adventure']"
2054970,Dragon's Dogma 2,game,16,False,,"R$ 125,58","CAPCOM Co., Ltd.","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'HDR available', 'Family Sharing']","21 Mar, 2024","['Action', 'RPG']"
780310,The Riftbreaker,game,0,False,,CLP$ 15.500,EXOR Studios,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on TV', 'Family Sharing']","14 Oct, 2021","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']"
1824220,Chivalry 2,game,17,False,,CLP$ 14.900,Torn Banner Studios,"['Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']","12 Jun, 2022","['Action', 'Massively Multiplayer']"
3097560,Liar's Bar,game,0,False,,CLP$ 4.200,Curve Animation,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Family Sharing']","2 Oct, 2024","['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']"
2185060,Two Point Museum,game,0,False,,$29.99,Two Point Studios,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Adjustable Text Size', 'Camera Comfort', 'Custom Volume Controls', 'Mouse Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Family Sharing']","Mar 4, 2025","['Casual', 'Indie', 'Simulation', 'Strategy']"
1888160,ARMORED CORE™ VI FIRES OF RUBICON™,game,13,False,,CLP$ 40.499,"FromSoftware, Inc.","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Camera Comfort', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","24 Aug, 2023",['Action']
1275920,Football Manager 2021 In-game Editor,dlc,0,False,,CLP$ 2.900,Sports Interactive,"['Single-player', 'Downloadable Content', 'Family Sharing']","23 Nov, 2020","['Simulation', 'Sports']"
2524890,Pixel Gun 3D: PC Edition,game,0,True,,Free,Cubic Games Studio,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'In-App Purchases']","2 Apr, 2024","['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']"
286690,Metro 2033 Redux,game,0,False,,CLP$ 14.989,4A Games,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","25 Aug, 2014",['Action']
2661300,Grounded 2,game,0,False,,CLP$ 29.990,Obsidian Entertainment,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Full controller support', 'Family Sharing']","29 Jul, 2025","['Action', 'Adventure', 'Early Access']"
1940340,Darkest Dungeon® II,game,0,False,,CDN$ 51.99,Red Hook Studios,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']","8 May, 2023","['Indie', 'RPG', 'Strategy']"
433850,Z1 Battle Royale,game,0,True,,Free,Daybreak Game Company,"['Multi-player', 'PvP', 'Online PvP', 'In-App Purchases']","28 Feb, 2018","['Action', 'Adventure', 'Free To Play', 'Massively Multiplayer']"
1100750,Football Manager 2020 In-game Editor,dlc,0,False,,CLP$ 3.800,Sports Interactive,"['Single-player', 'Multi-player', 'Downloadable Content', 'Family Sharing']","18 Nov, 2019","['Simulation', 'Sports']"
1971650,OCTOPATH TRAVELER II,game,0,False,,CLP$ 23.996,Square Enix,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","24 Feb, 2023",['RPG']
881020,Granblue Fantasy: Relink,game,0,False,,CLP$ 38.000,"Cygames, Inc.","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","31 Jan, 2024","['Action', 'Adventure', 'RPG']"
1669980,Volcano Princess,game,0,False,,CLP$ 6.299,养蛋人 Egg Hatcher,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","20 Apr, 2023","['Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']"
1296830,暖雪 Warm Snow,game,0,False,,CLP$ 7.500,BadMudStudio,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","18 Jan, 2022","['Action', 'Adventure', 'Indie', 'RPG']"
2479810,Gray Zone Warfare,game,0,False,,129.95 SR,"MADFINGER Games, a.s.","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound']","30 Apr, 2024","['Action', 'Massively Multiplayer', 'Simulation', 'Early Access']"
1244460,Jurassic World Evolution 2,game,0,False,,Rp 449 999,Frontier Developments,"['Pemain Tunggal', 'Pencapaian Steam', 'Dukungan kontroler penuh', 'Steam Cloud', 'Statistik', 'HDR tersedia', 'Berbagi dengan Keluarga']",9 Nov 2021,"['Simulasi', 'Strategi']"
2835570,Buckshot Roulette,game,0,False,,CLP$ 1.900,Mike Klubnika,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards', 'Family Sharing']","4 Apr, 2024","['Action', 'Indie', 'Simulation']"
2527500,MiSide,game,0,False,,CLP$ 8.300,AIHASTO,"['Single-player', 'Steam Achievements', 'Family Sharing']","10 Dec, 2024","['Adventure', 'Indie', 'RPG', 'Simulation']"
1057090,Ori and the Will of the Wisps,game,0,False,,CLP$ 24.990,Moon Studios GmbH,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'HDR available', 'Family Sharing']","10 Mar, 2020",['Action']
1928420,Farlight 84,game,0,True,,Free,Farlight Games,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'In-App Purchases']","21 Sep, 2023","['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']"
2680010,The First Berserker: Khazan,game,17,False,,CLP$ 25.060,Neople,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","27 Mar, 2025","['Action', 'Adventure', 'RPG']"
387990,Scrap Mechanic,game,0,False,,CLP$ 9.500,Axolot Games,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']","19 Jan, 2016","['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']"
2291060,EARTH DEFENSE FORCE 6,game,0,False,,CLP$ 38.499,SANDLOT,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']","25 Jul, 2024",['Action']
360430,Mafia III: Definitive Edition,game,18,False,,CLP$ 25.990,Hangar 13,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","19 May, 2020","['Action', 'Adventure']"
637090,BATTLETECH,game,0,False,,CLP$ 28.200,Harebrained Schemes,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']","24 Apr, 2018","['Action', 'Adventure', 'Strategy']"
2515020,FINAL FANTASY XVI,game,0,False,,CLP$ 19.999,Square Enix,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'HDR available', 'Family Sharing']","17 Sep, 2024","['Action', 'RPG']"
2688950,Planet Coaster 2,game,0,False,,CLP$ 25.800,Frontier Developments,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'HDR available', 'Family Sharing']","6 Nov, 2024","['Simulation', 'Strategy']"
475150,Titan Quest Anniversary Edition,game,0,False,,CLP$ 9.500,Iron Lore Entertainment,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Family Sharing']","31 Aug, 2016","['Action', 'RPG']"
1056640,Phantasy Star Online 2 New Genesis,game,17,True,,Free,SEGA,"['Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Tablet']","5 Aug, 2020","['Action', 'Massively Multiplayer', 'RPG', 'Free To Play']"
2881650,Content Warning,game,0,False,,CLP$ 4.200,Wilnyl,"['Multi-player', 'Co-op', 'Online Co-op', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","1 Apr, 2024","['Action', 'Adventure', 'Indie']"
885970,Total War: ROME REMASTERED,game,0,False,,CLP$ 16.500,Creative Assembly,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']","29 Apr, 2021",['Strategy']
225540,Just Cause™ 3,game,17,False,,CLP$ 2.069,Avalanche Studios,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","30 Nov, 2015","['Action', 'Adventure']"
436150,Governor of Poker 3,game,0,True,,Free,Playtika Ltd.,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']","19 Feb, 2016","['Casual', 'Massively Multiplayer', 'Simulation', 'Free To Play']"
1625450,Muck,game,0,True,,Free,Dani,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op']","5 Jun, 2021","['Action', 'Adventure', 'Free To Play', 'Indie']"
1237950,STAR WARS™ Battlefront™ II,game,0,False,,CLP$ 31.900,DICE,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards']","11 Jun, 2020","['Action', 'Adventure']"
1465460,Infection Free Zone,game,0,False,,CLP$ 11.999,Jutsu Games,"['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']","11 Apr, 2024","['Action', 'Indie', 'Simulation', 'Strategy', 'Early Access']"
599140,Graveyard Keeper,game,0,False,,CLP$ 10.500,Lazy Bear Games,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","15 Aug, 2018","['Adventure', 'Indie', 'RPG', 'Simulation']"
211820,Starbound,game,0,False,,CLP$ 8.300,Chucklefish,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Family Sharing']","22 Jul, 2016","['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
298110,Far Cry® 4,game,17,False,,CLP$ 19.900,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support']","17 Nov, 2014","['Action', 'Adventure']"
1549250,UNDECEMBER,game,0,True,,Free,Needs Games,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'In-App Purchases']","11 Oct, 2022","['Action', 'Adventure', 'RPG', 'Free To Play']"
2437170,SMITE 2,game,0,True,,Free,Titan Forge Games,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']","27 Aug, 2024","['Action', 'Adventure', 'Casual', 'Massively Multiplayer', 'RPG', 'Strategy', 'Free To Play', 'Early Access']"
1671210,DELTARUNE,game,0,False,,CLP$ 13.000,tobyfox,"['Single-player', 'Full controller support', 'Steam Cloud', 'Family Sharing']","4 Jun, 2025","['Indie', 'RPG']"
2701660,DRAGON QUEST III HD-2D Remake,game,0,False,,"R$ 149,94",Square Enix,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","14 Nov, 2024",['RPG']
1569580,Blue Prince,game,0,False,,"119,99zł",Dogubomb,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","10 Apr, 2025","['Adventure', 'Indie', 'Strategy']"
1392860,Little Nightmares III,game,0,False,,CLP$ 30.499,Supermassive Games,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Keyboard Only Option', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Family Sharing']","9 Oct, 2025",['Adventure']
311690,Enter the Gungeon,game,0,False,,CLP$ 8.300,Dodge Roll,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","5 Apr, 2016","['Action', 'Adventure', 'Indie']"
1774580,STAR WARS Jedi: Survivor™,game,0,False,,CLP$ 55.900,Respawn,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Stereo Sound', 'HDR available']","27 Apr, 2023","['Action', 'Adventure']"
2666510,Rusty's Retirement,game,0,False,,CLP$ 2.814,Mister Morris Games,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Adjustable Text Size', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Steam Cloud', 'Family Sharing']","26 Apr, 2024","['Casual', 'Indie', 'Simulation', 'Strategy']"
492720,Tropico 6,game,13,False,,CLP$ 19.750,Limbic Entertainment,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","29 Mar, 2019","['Simulation', 'Strategy']"
392160,X4: Foundations,game,0,False,,CLP$ 23.800,Egosoft,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Steam Cloud', 'Family Sharing']","30 Nov, 2018","['Action', 'Simulation', 'Strategy']"
392160,X4: Foundations,game,0,False,,CLP$ 23.800,Egosoft,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Steam Cloud', 'Family Sharing']","30 Nov, 2018","['Action', 'Simulation', 'Strategy']"
2634950,Tokyo Xtreme Racer,game,0,False,,CLP$ 29.999,"Genki Co., Ltd.","['Single-player', 'Steam Achievements', 'Full controller support', 'Custom Volume Controls', 'Playable without Timed Input', 'Steam Cloud', 'Family Sharing']","24 Sep, 2025","['Racing', 'RPG']"
212680,FTL: Faster Than Light,game,0,False,,CLP$ 5.500,Subset Games,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","14 Sep, 2012","['Indie', 'Simulation', 'Strategy']"
668580,Atomic Heart,game,17,False,,CLP$ 43.990,Mundfish,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Family Sharing']","20 Feb, 2023","['Action', 'Adventure', 'RPG']"
444090,Paladins®,game,0,True,,Free,Evil Mojo Games,"['Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']","8 May, 2018","['Action', 'Adventure', 'Massively Multiplayer', 'Strategy', 'Free To Play']"
848450,Subnautica: Below Zero,game,0,False,,$20.99 USD,Unknown Worlds Entertainment,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","13 May, 2021","['Adventure', 'Indie']"
1151640,Horizon Zero Dawn™ Complete Edition,game,12,False,,Free,Guerrilla,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']","7 Aug, 2020","['Action', 'Adventure', 'RPG']"
535930,Two Point Hospital,game,0,False,,CLP$ 17.000,Two Point Studios,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']","29 Aug, 2018","['Indie', 'Simulation']"
1213210,Command & Conquer™ Remastered Collection,game,13,False,,CLP$ 17.900,Petroglyph,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']","5 Jun, 2020",['Strategy']
2288150,ROMANCE OF THE THREE KINGDOMS 8 REMAKE,game,0,False,,CLP$ 47.900,"KOEI TECMO GAMES CO., LTD.","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Custom Volume Controls', 'Adjustable Difficulty', 'Mouse Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","23 Oct, 2024","['Simulation', 'Strategy']"
389730,TEKKEN 7,game,0,False,,CLP$ 25.499,BANDAI NAMCO Studios Inc.,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","1 Jun, 2017","['Action', 'Sports']"
637650,FINAL FANTASY XV WINDOWS EDITION,game,13,False,,CLP$ 9.280,Square Enix,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']","6 Mar, 2018",['RPG']
1859910,Legend of Mortal,game,0,False,,CLP$ 10.500,Obb Studio Inc.,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","14 Jun, 2024","['Adventure', 'Indie', 'RPG', 'Strategy']"
2285150,The Front,game,0,False,,CLP$ 10.500,Samar Studio,"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op']","30 Oct, 2025","['Action', 'Indie', 'Massively Multiplayer', 'Simulation']"
952060,Resident Evil 3,game,0,False,,CLP$ 10.700,"CAPCOM Co., Ltd.","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'HDR available', 'Family Sharing']","2 Apr, 2020",['Action']
2218750,Halls of Torment,game,0,False,,CLP$ 3.900,Chasing Carrots,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Custom Volume Controls', 'Keyboard Only Option', 'Mouse Only Option', 'Playable without Timed Input', 'Steam Cloud', 'Family Sharing']","24 Sep, 2024","['Action', 'Indie', 'RPG']"
